Product ID,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,Printing,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
202957,4267153,Magic: The Gathering,The List Reprints,Font of Mythos,,136,Rare,Near Mint,Normal,16.77,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/202957_in_200x200.jpg
248609,5196810,Magic: The Gathering,The List Reprints,Vedalken Orrery,,163/165,Rare,Near Mint,Normal,21.26,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/248609_in_200x200.jpg
71039,1131804,Magic: The Gathering,Theros,"Nykthos, Shrine to Nyx",,223,Rare,Near Mint,Normal,49.91,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/71039_in_200x200.jpg
233786,4797172,Magic: The Gathering,Time Spiral: Remastered,Pact of Negation,,77,Rare,Near Mint,Normal,18.28,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/233786_in_200x200.jpg
9627,22426,Magic: The Gathering,Torment,Cabal Coffers,,139,Uncommon,Near Mint,Normal,31.67,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/9627_in_200x200.jpg
179473,3904094,Magic: The Gathering,Ultimate Masters,Ancient Tomb,,236,Rare,Near Mint,Normal,134.31,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/179473_in_200x200.jpg
179480,3904194,Magic: The Gathering,Ultimate Masters,Cavern of Souls,,237,Mythic,Near Mint,Normal,53.23,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/179480_in_200x200.jpg
179538,3904974,Magic: The Gathering,Ultimate Masters,Entomb,,94,Rare,Near Mint,Normal,18.05,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/179538_in_200x200.jpg
179517,3904754,Magic: The Gathering,Ultimate Masters,Mana Vault,,229,Mythic,Near Mint,Normal,110.89,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/179517_in_200x200.jpg
180789,3914060,Magic: The Gathering,Ultimate Masters,Phyrexian Tower,,248,Rare,Near Mint,Normal,27.86,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/180789_in_200x200.jpg
